period,mtype,party,n,ntot,perc
4,Social Media (engagement),SGP,5395,NA,0.005319028318526486
4,Social Media (engagement),SP,27701,NA,0.027310918155978164
4,Social Media (engagement),Volt,1713,NA,0.0016888777589686508
4,Social Media (engagement),VVD,30780,NA,0.030346560082343883
5,Social Media (activity),50Plus,33,NA,0.02451708766716196
5,Social Media (activity),CDA,36,NA,0.02674591381872214
5,Social Media (activity),CU,102,NA,0.07578008915304606
5,Social Media (activity),D66,32,NA,0.0237741456166419
5,Social Media (activity),Denk,108,NA,0.08023774145616643
5,Social Media (activity),FvD,528,NA,0.3922734026745914
5,Social Media (activity),GL,67,NA,0.04977711738484398
5,Social Media (activity),JA21,83,NA,0.061664190193164936
5,Social Media (activity),PvdA,52,NA,0.03863298662704309
5,Social Media (activity),PVV,151,NA,0.11218424962852898
5,Social Media (activity),SGP,32,NA,0.0237741456166419
5,Social Media (activity),SP,71,NA,0.05274888558692422
5,Social Media (activity),Volt,42,NA,0.031203566121842496
5,Social Media (activity),VVD,9,NA,0.006686478454680535
5,Social Media (engagement),50Plus,207,NA,2.7805613241382274e-4
5,Social Media (engagement),CDA,7794,NA,0.0104694178552335
5,Social Media (engagement),CU,21407,NA,0.028755302543877793
5,Social Media (engagement),D66,24397,NA,0.03277166890096635
5,Social Media (engagement),Denk,11500,NA,0.01544756291187904
5,Social Media (engagement),FvD,296947,NA,0.39887890991249964
5,Social Media (engagement),GL,23434,NA,0.031478103415388994
5,Social Media (engagement),JA21,5758,NA,0.007734527586660828
5,Social Media (engagement),PvdA,27251,NA,0.036605351035792676
5,Social Media (engagement),PvdD,1971,NA,0.0026475779564620514
5,Social Media (engagement),PVV,278890,NA,0.3746235496081692
5,Social Media (engagement),SGP,10230,NA,0.01374161465987153
5,Social Media (engagement),SP,19949,NA,0.026796820219919564
5,Social Media (engagement),Volt,6136,NA,0.008242282263242591
5,Social Media (engagement),VVD,8583,NA,0.011529254997622418
