period,mtype,party,n,ntot,perc
5,TV,JA21,6,100,0.06
5,TV,PvdA,22,100,0.22
5,TV,PvdD,13,100,0.13
5,TV,PVV,22,100,0.22
5,TV,SGP,6,100,0.06
5,TV,SP,24,100,0.24
5,TV,Volt,6,100,0.06
5,TV,VVD,44,100,0.44
1,Social Media (activity),50Plus,52,NA,0.07569141193595343
1,Social Media (activity),CDA,4,NA,0.005822416302765648
1,Social Media (activity),CU,62,NA,0.09024745269286755
1,Social Media (activity),D66,14,NA,0.020378457059679767
1,Social Media (activity),Denk,96,NA,0.13973799126637554
1,Social Media (activity),FvD,167,NA,0.2430858806404658
1,Social Media (activity),GL,28,NA,0.040756914119359534
1,Social Media (activity),JA21,51,NA,0.07423580786026202
1,Social Media (activity),PvdA,18,NA,0.026200873362445413
1,Social Media (activity),PvdD,0,NA,0
1,Social Media (activity),PVV,88,NA,0.12809315866084425
1,Social Media (activity),SGP,19,NA,0.027656477438136828
1,Social Media (activity),SP,30,NA,0.043668122270742356
1,Social Media (activity),Volt,43,NA,0.06259097525473072
1,Social Media (activity),VVD,15,NA,0.021834061135371178
1,Social Media (engagement),50Plus,375,NA,9.365891670350584e-4
1,Social Media (engagement),CDA,566,NA,0.0014136252494449148
1,Social Media (engagement),CU,8566,NA,0.021394194146192827
1,Social Media (engagement),D66,17217,NA,0.0430006818369136
1,Social Media (engagement),Denk,4350,NA,0.010864434337606678
1,Social Media (engagement),FvD,92422,NA,0.23083051732190446
1,Social Media (engagement),GL,15002,NA,0.037468561823626526
1,Social Media (engagement),JA21,5358,NA,0.013381986018596914
1,Social Media (engagement),PvdA,945,NA,0.0023602047009283473
1,Social Media (engagement),PvdD,0,NA,0
1,Social Media (engagement),PVV,204227,NA,0.510071455509517
1,Social Media (engagement),SGP,2553,NA,0.0063762990491746776
1,Social Media (engagement),SP,7244,NA,0.018092405136005234
1,Social Media (engagement),Volt,602,NA,0.0015035378094802804
1,Social Media (engagement),VVD,40962,NA,0.1023055078935735
2,Social Media (activity),50Plus,90,NA,0.05968169761273209
2,Social Media (activity),CDA,42,NA,0.027851458885941646
2,Social Media (activity),CU,92,NA,0.0610079575596817
2,Social Media (activity),D66,37,NA,0.02453580901856764
2,Social Media (activity),Denk,217,NA,0.14389920424403183
2,Social Media (activity),FvD,336,NA,0.22281167108753316
2,Social Media (activity),GL,81,NA,0.053713527851458887
2,Social Media (activity),JA21,114,NA,0.07559681697612732
2,Social Media (activity),PvdA,49,NA,0.03249336870026525
2,Social Media (activity),PvdD,0,NA,0
2,Social Media (activity),PVV,180,NA,0.11936339522546419
2,Social Media (activity),SGP,48,NA,0.03183023872679045
2,Social Media (activity),SP,87,NA,0.057692307692307696
2,Social Media (activity),Volt,52,NA,0.034482758620689655
2,Social Media (activity),VVD,83,NA,0.055039787798408485
2,Social Media (engagement),50Plus,555,NA,5.79605408815015e-4
2,Social Media (engagement),CDA,7665,NA,0.00800482064606683
2,Social Media (engagement),CU,18395,NA,0.019210525216490453
2,Social Media (engagement),D66,14910,NA,0.015571020982760133
2,Social Media (engagement),Denk,13499,NA,0.014097465610079078
2,Social Media (engagement),FvD,226638,NA,0.23668578494237363
2,Social Media (engagement),GL,41374,NA,0.04320827780957195
2,Social Media (engagement),JA21,6251,NA,0.006528132271175962
2,Social Media (engagement),PvdA,17118,NA,0.017876910609180948
2,Social Media (engagement),PvdD,413,NA,4.313099708839661e-4
2,Social Media (engagement),PVV,474328,NA,0.4953568907250603
2,Social Media (engagement),SGP,4722,NA,0.004931345478242344
2,Social Media (engagement),SP,37882,NA,0.03956146323735207
2,Social Media (engagement),Volt,870,NA,9.085706408451587e-4
2,Social Media (engagement),VVD,92928,NA,0.09704787645110219
3,Social Media (activity),50Plus,75,NA,0.05426917510853835
3,Social Media (activity),CDA,27,NA,0.019536903039073805
3,Social Media (activity),CU,73,NA,0.052821997105643996
3,Social Media (activity),D66,31,NA,0.02243125904486252
3,Social Media (activity),Denk,136,NA,0.09840810419681621
3,Social Media (activity),FvD,510,NA,0.36903039073806077
3,Social Media (activity),GL,66,NA,0.04775687409551375
3,Social Media (activity),JA21,84,NA,0.060781476121562955
3,Social Media (activity),PvdA,51,NA,0.03690303907380608
3,Social Media (activity),PvdD,0,NA,0
3,Social Media (activity),PVV,138,NA,0.09985528219971057
3,Social Media (activity),SGP,17,NA,0.012301013024602027
3,Social Media (activity),SP,89,NA,0.06439942112879884
3,Social Media (activity),Volt,38,NA,0.027496382054992764
3,Social Media (activity),VVD,47,NA,0.03400868306801737
3,Social Media (engagement),50Plus,497,NA,5.975453749747516e-4
3,Social Media (engagement),CDA,7546,NA,0.009072590341165946
3,Social Media (engagement),CU,11861,NA,0.014260534592707302
3,Social Media (engagement),D66,15466,NA,0.018594842594284726
3,Social Media (engagement),Denk,8436,NA,0.010142641415064395
3,Social Media (engagement),FvD,312198,NA,0.37535708445949195
3,Social Media (engagement),GL,27034,NA,0.03250310194580973
3,Social Media (engagement),JA21,3068,NA,0.0036886704435061127
3,Social Media (engagement),PvdA,16426,NA,0.019749054988602154
3,Social Media (engagement),PvdD,1395,NA,0.001677214885492512
3,Social Media (engagement),PVV,340713,NA,0.4096407994844518
3,Social Media (engagement),SGP,4157,NA,0.004997980128309944
3,Social Media (engagement),SP,34746,NA,0.041775274846826395
3,Social Media (engagement),Volt,507,NA,6.095684207488915e-4
3,Social Media (engagement),VVD,47686,NA,0.05733309607856339
4,Social Media (activity),50Plus,57,NA,0.03644501278772379
4,Social Media (activity),CDA,23,NA,0.014705882352941176
4,Social Media (activity),CU,116,NA,0.0741687979539642
4,Social Media (activity),D66,26,NA,0.016624040920716114
4,Social Media (activity),Denk,106,NA,0.06777493606138107
4,Social Media (activity),FvD,663,NA,0.42391304347826086
4,Social Media (activity),GL,77,NA,0.049232736572890026
4,Social Media (activity),JA21,106,NA,0.06777493606138107
4,Social Media (activity),PvdA,37,NA,0.023657289002557546
4,Social Media (activity),PvdD,0,NA,0
4,Social Media (activity),PVV,159,NA,0.10166240409207161
4,Social Media (activity),SGP,31,NA,0.019820971867007674
4,Social Media (activity),SP,87,NA,0.055626598465473145
4,Social Media (activity),Volt,50,NA,0.0319693094629156
4,Social Media (activity),VVD,26,NA,0.016624040920716114
